"S0.9,Seq_l=8192,num_h=4",algs,Latency(ms)
batchsize=2,Pytorch-fp16,23.4629
batchsize=2,Pytorch-fp16,23.599
batchsize=2,Pytorch-fp16,22.9978
batchsize=2,Pytorch-fp16,22.5675
batchsize=2,Pytorch-fp16,22.4812
batchsize=2,Pytorch-fp16,22.6782
batchsize=2,Pytorch-fp16,23.0055
batchsize=2,Pytorch-fp16,22.4286
batchsize=2,vectorSparse,18.5484
batchsize=2,vectorSparse,18.8629
batchsize=2,vectorSparse,18.8642
batchsize=2,vectorSparse,18.7025
batchsize=2,vectorSparse,18.2406
batchsize=2,vectorSparse,18.9512
batchsize=2,vectorSparse,19.4805
batchsize=2,vectorSparse,19.3749
batchsize=2,RoSpMM,13.0405
batchsize=2,RoSpMM,12.6432
batchsize=2,RoSpMM,13.0473
batchsize=2,RoSpMM,13.0101
batchsize=2,RoSpMM,13.0036
batchsize=2,RoSpMM,13.0547
batchsize=2,RoSpMM,13.0451
batchsize=2,RoSpMM,13.0022
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,vectorSparse,67.7127
batchsize=8,vectorSparse,67.84
batchsize=8,vectorSparse,68.9863
batchsize=8,vectorSparse,69.1584
batchsize=8,vectorSparse,66.9314
batchsize=8,vectorSparse,68.8974
batchsize=8,vectorSparse,67.4835
batchsize=8,vectorSparse,67.8157
batchsize=8,RoSpMM,53.2913
batchsize=8,RoSpMM,53.2809
batchsize=8,RoSpMM,52.4229
batchsize=8,RoSpMM,53.3088
batchsize=8,RoSpMM,53.3092
batchsize=8,RoSpMM,53.2604
batchsize=8,RoSpMM,53.2711
batchsize=8,RoSpMM,53.2531
