"S0.9,Seq_l=8192,num_h=8",algs,Latency(ms)
batchsize=2,Pytorch-fp16,44.6289
batchsize=2,Pytorch-fp16,45.0344
batchsize=2,Pytorch-fp16,44.8885
batchsize=2,Pytorch-fp16,45.9505
batchsize=2,Pytorch-fp16,45.0933
batchsize=2,Pytorch-fp16,45.2605
batchsize=2,Pytorch-fp16,44.6689
batchsize=2,Pytorch-fp16,45.2473
batchsize=2,vectorSparse,36.0427
batchsize=2,vectorSparse,35.8254
batchsize=2,vectorSparse,35.2833
batchsize=2,vectorSparse,34.8053
batchsize=2,vectorSparse,36.0951
batchsize=2,vectorSparse,35.6267
batchsize=2,vectorSparse,35.4131
batchsize=2,vectorSparse,34.7439
batchsize=2,RoSpMM,26.7596
batchsize=2,RoSpMM,26.7163
batchsize=2,RoSpMM,26.6938
batchsize=2,RoSpMM,26.7593
batchsize=2,RoSpMM,26.7976
batchsize=2,RoSpMM,26.774
batchsize=2,RoSpMM,26.7226
batchsize=2,RoSpMM,26.7478
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,Pytorch-fp16,
batchsize=8,vectorSparse,135.925
batchsize=8,vectorSparse,136.8891
batchsize=8,vectorSparse,137.018
batchsize=8,vectorSparse,137.0883
batchsize=8,vectorSparse,137.3288
batchsize=8,vectorSparse,137.3837
batchsize=8,vectorSparse,136.734
batchsize=8,vectorSparse,138.1123
batchsize=8,RoSpMM,108.9653
batchsize=8,RoSpMM,108.7794
batchsize=8,RoSpMM,108.8978
batchsize=8,RoSpMM,109.034
batchsize=8,RoSpMM,108.9813
batchsize=8,RoSpMM,109.0027
batchsize=8,RoSpMM,109.0183
batchsize=8,RoSpMM,108.9409
